Group,Comparison,Spearman ρ,p-value,N,Mean Abs Diff
SFT,SQ vs TRAIT,0.794,6.10e-03,10,20.6
SFT,SQ vs SCT,0.794,6.10e-03,10,34.8
SFT,TRAIT vs SCT,0.879,8.14e-04,10,21.7
Linear,SQ vs TRAIT,0.782,7.55e-03,10,19.8
Linear,SQ vs SCT,0.745,1.33e-02,10,20.4
Linear,TRAIT vs SCT,0.976,1.47e-06,10,9.0
Log,SQ vs TRAIT,0.745,1.33e-02,10,17.1
Log,SQ vs SCT,0.745,1.33e-02,10,27.7
Log,TRAIT vs SCT,0.879,8.14e-04,10,17.0
Threshold,SQ vs TRAIT,0.77,9.22e-03,10,11.4
Threshold,SQ vs SCT,0.612,6.00e-02,10,12.1
Threshold,TRAIT vs SCT,0.915,2.04e-04,10,8.4
