Group,Comparison,Spearman ρ,p-value,N,Mean Abs Diff
Agreeableness,SQ vs TRAIT,0.976,3.31e-05,8,27.0
Agreeableness,SQ vs SCT,0.905,2.01e-03,8,30.9
Agreeableness,TRAIT vs SCT,0.881,3.85e-03,8,10.7
Conscientiousness,SQ vs TRAIT,0.905,2.01e-03,8,27.6
Conscientiousness,SQ vs SCT,0.81,1.49e-02,8,31.6
Conscientiousness,TRAIT vs SCT,0.69,5.80e-02,8,14.2
Extraversion,SQ vs TRAIT,0.905,2.01e-03,8,5.9
Extraversion,SQ vs SCT,0.857,6.53e-03,8,18.4
Extraversion,TRAIT vs SCT,0.833,1.02e-02,8,14.1
Neuroticism,SQ vs TRAIT,0.81,1.49e-02,8,6.4
Neuroticism,SQ vs SCT,0.571,1.39e-01,8,23.4
Neuroticism,TRAIT vs SCT,0.738,3.66e-02,8,18.6
Openness,SQ vs TRAIT,0.881,3.85e-03,8,19.3
Openness,SQ vs SCT,0.755,3.05e-02,8,14.6
Openness,TRAIT vs SCT,0.922,1.11e-03,8,12.5
