,model,question_id,dimension,statement,score,raw_text,lambda_val,add_strategy,strategy
0,Base_Control,1,extraversion,I am the life of the party.,1.0," 1

Statement",,,
1,Base_Control,2,extraversion,I don't talk a lot.,5.0," 5

Statement",,,
2,Base_Control,3,extraversion,I feel comfortable around people.,5.0," 5

Statement",,,
3,Base_Control,4,extraversion,I keep in the background.,3.0," 3

Statement",,,
4,Base_Control,5,extraversion,I start conversations.,4.0," 4

Statement",,,
5,Base_Control,6,extraversion,I have little to say.,3.0," 3

Statement",,,
6,Base_Control,7,extraversion,I talk to a lot of different people at parties.,3.0," 3

Statement",,,
7,Base_Control,8,extraversion,I don't like to draw attention to myself.,5.0," 5

Statement",,,
8,Base_Control,9,extraversion,I don't mind being the center of attention.,5.0," 5

Statement",,,
9,Base_Control,10,extraversion,I am quiet around strangers.,3.0," 3

Statement",,,
10,Base_Control,11,neuroticism,I get stressed out easily.,3.0," 3

Statement",,,
11,Base_Control,12,neuroticism,I am relaxed most of the time.,4.0," 4

Statement",,,
12,Base_Control,13,neuroticism,I worry about things.,4.0," 4

Statement",,,
13,Base_Control,14,neuroticism,I seldom feel blue.,5.0," 5

Statement",,,
14,Base_Control,15,neuroticism,I am easily disturbed.,3.0," 3

Statement",,,
15,Base_Control,16,neuroticism,I get upset easily.,3.0," 3

Statement",,,
16,Base_Control,17,neuroticism,I change my mood a lot.,3.0," 3

Statement",,,
17,Base_Control,18,neuroticism,I have frequent mood swings.,3.0," 3

Statement",,,
18,Base_Control,19,neuroticism,I get irritated easily.,3.0," 3

Statement",,,
19,Base_Control,20,neuroticism,I often feel blue.,3.0," 3

Statement",,,
20,Base_Control,21,agreeableness,I feel little concern for others.,5.0," 5

Statement",,,
21,Base_Control,22,agreeableness,I am interested in people.,5.0," 5

Statement",,,
22,Base_Control,23,agreeableness,I insult people.,3.0," 3

Statement",,,
23,Base_Control,24,agreeableness,I sympathize with others' feelings.,5.0," 5

Statement",,,
24,Base_Control,25,agreeableness,I am not interested in other people's problems.,5.0," 5

Statement",,,
25,Base_Control,26,agreeableness,I have a soft heart.,5.0," 5

Statement",,,
26,Base_Control,27,agreeableness,I am not really interested in others.,5.0," 5

Statement",,,
27,Base_Control,28,agreeableness,I take time out for others.,4.0," 4

Statement",,,
28,Base_Control,29,agreeableness,I feel others' emotions.,4.0," 4

Statement",,,
29,Base_Control,30,agreeableness,I make people feel at ease.,4.0," 4

Statement",,,
30,Base_Control,31,conscientiousness,I am always prepared.,5.0," 5

Statement",,,
31,Base_Control,32,conscientiousness,I leave my belongings around.,3.0," 3

Statement",,,
32,Base_Control,33,conscientiousness,I pay attention to details.,4.0," 4

Statement",,,
33,Base_Control,34,conscientiousness,I make a mess of things.,1.0," 1

Statement",,,
34,Base_Control,35,conscientiousness,I get chores done right away.,4.0," 4

Statement",,,
35,Base_Control,36,conscientiousness,I often forget to put things back in their proper place.,3.0," 3

Statement",,,
36,Base_Control,37,conscientiousness,I like order.,4.0," 4

Statement",,,
37,Base_Control,38,conscientiousness,I shirk my duties.,3.0," 3

Statement",,,
38,Base_Control,39,conscientiousness,I follow a schedule.,4.0," 4

Statement",,,
39,Base_Control,40,conscientiousness,I am exacting in my work.,4.0," 4

Statement",,,
40,Base_Control,41,openness,I have a rich vocabulary.,4.0," 4

Statement",,,
41,Base_Control,42,openness,I have difficulty understanding abstract ideas.,3.0," 3

Statement",,,
42,Base_Control,43,openness,I have a vivid imagination.,4.0," 4

Statement",,,
43,Base_Control,44,openness,I am not interested in abstract ideas.,5.0," 5

Statement",,,
44,Base_Control,45,openness,I have excellent ideas.,5.0," 5

Statement",,,
45,Base_Control,46,openness,I do not have a good imagination.,5.0," 5

Statement",,,
46,Base_Control,47,openness,I am quick to understand things.,4.0," 4

Statement",,,
47,Base_Control,48,openness,I use difficult words.,3.0," 3

Statement",,,
48,Base_Control,49,openness,I spend time reflecting on things.,4.0," 4

Statement",,,
49,Base_Control,50,openness,I am full of ideas.,4.0," 4

Statement",,,
50,Instruct_Baseline,1,extraversion,I am the life of the party.,3.0,3,,,
51,Instruct_Baseline,2,extraversion,I don't talk a lot.,3.0,3,,,
52,Instruct_Baseline,3,extraversion,I feel comfortable around people.,3.0,3,,,
53,Instruct_Baseline,4,extraversion,I keep in the background.,3.0,3,,,
54,Instruct_Baseline,5,extraversion,I start conversations.,3.0,3,,,
55,Instruct_Baseline,6,extraversion,I have little to say.,3.0,3,,,
56,Instruct_Baseline,7,extraversion,I talk to a lot of different people at parties.,3.0,3,,,
57,Instruct_Baseline,8,extraversion,I don't like to draw attention to myself.,4.0,4,,,
58,Instruct_Baseline,9,extraversion,I don't mind being the center of attention.,3.0,3,,,
59,Instruct_Baseline,10,extraversion,I am quiet around strangers.,3.0,3,,,
60,Instruct_Baseline,11,neuroticism,I get stressed out easily.,3.0,3,,,
61,Instruct_Baseline,12,neuroticism,I am relaxed most of the time.,3.0,3,,,
62,Instruct_Baseline,13,neuroticism,I worry about things.,3.0,3,,,
63,Instruct_Baseline,14,neuroticism,I seldom feel blue.,3.0,3,,,
64,Instruct_Baseline,15,neuroticism,I am easily disturbed.,3.0,3,,,
65,Instruct_Baseline,16,neuroticism,I get upset easily.,3.0,3,,,
66,Instruct_Baseline,17,neuroticism,I change my mood a lot.,3.0,3,,,
67,Instruct_Baseline,18,neuroticism,I have frequent mood swings.,3.0,3,,,
68,Instruct_Baseline,19,neuroticism,I get irritated easily.,3.0,3,,,
69,Instruct_Baseline,20,neuroticism,I often feel blue.,3.0,3,,,
70,Instruct_Baseline,21,agreeableness,I feel little concern for others.,3.0,3,,,
71,Instruct_Baseline,22,agreeableness,I am interested in people.,4.0,4,,,
72,Instruct_Baseline,23,agreeableness,I insult people.,3.0,3,,,
73,Instruct_Baseline,24,agreeableness,I sympathize with others' feelings.,4.0,4,,,
74,Instruct_Baseline,25,agreeableness,I am not interested in other people's problems.,3.0,3,,,
75,Instruct_Baseline,26,agreeableness,I have a soft heart.,3.0,3,,,
76,Instruct_Baseline,27,agreeableness,I am not really interested in others.,3.0,3,,,
77,Instruct_Baseline,28,agreeableness,I take time out for others.,3.0,3,,,
78,Instruct_Baseline,29,agreeableness,I feel others' emotions.,3.0,3,,,
79,Instruct_Baseline,30,agreeableness,I make people feel at ease.,3.0,3,,,
80,Instruct_Baseline,31,conscientiousness,I am always prepared.,3.0,3,,,
81,Instruct_Baseline,32,conscientiousness,I leave my belongings around.,3.0,3,,,
82,Instruct_Baseline,33,conscientiousness,I pay attention to details.,3.0,3,,,
83,Instruct_Baseline,34,conscientiousness,I make a mess of things.,3.0,3,,,
84,Instruct_Baseline,35,conscientiousness,I get chores done right away.,3.0,3,,,
85,Instruct_Baseline,36,conscientiousness,I often forget to put things back in their proper place.,3.0,3,,,
86,Instruct_Baseline,37,conscientiousness,I like order.,3.0,3,,,
87,Instruct_Baseline,38,conscientiousness,I shirk my duties.,3.0,3,,,
88,Instruct_Baseline,39,conscientiousness,I follow a schedule.,3.0,3,,,
89,Instruct_Baseline,40,conscientiousness,I am exacting in my work.,3.0,3,,,
90,Instruct_Baseline,41,openness,I have a rich vocabulary.,3.0,3,,,
91,Instruct_Baseline,42,openness,I have difficulty understanding abstract ideas.,3.0,3,,,
92,Instruct_Baseline,43,openness,I have a vivid imagination.,3.0,3,,,
93,Instruct_Baseline,44,openness,I am not interested in abstract ideas.,3.0,3,,,
94,Instruct_Baseline,45,openness,I have excellent ideas.,3.0,3,,,
95,Instruct_Baseline,46,openness,I do not have a good imagination.,3.0,3,,,
96,Instruct_Baseline,47,openness,I am quick to understand things.,3.0,3,,,
97,Instruct_Baseline,48,openness,I use difficult words.,3.0,3,,,
98,Instruct_Baseline,49,openness,I spend time reflecting on things.,3.0,3,,,
99,Instruct_Baseline,50,openness,I am full of ideas.,3.0,3,,,
100,Stacked_L0.0_Addition,1,extraversion,I am the life of the party.,3.0,3,0.0,Addition,log
101,Stacked_L0.0_Addition,2,extraversion,I don't talk a lot.,3.0,3,0.0,Addition,log
102,Stacked_L0.0_Addition,3,extraversion,I feel comfortable around people.,3.0,3,0.0,Addition,log
103,Stacked_L0.0_Addition,4,extraversion,I keep in the background.,3.0,3,0.0,Addition,log
104,Stacked_L0.0_Addition,5,extraversion,I start conversations.,3.0,3,0.0,Addition,log
105,Stacked_L0.0_Addition,6,extraversion,I have little to say.,3.0,3,0.0,Addition,log
106,Stacked_L0.0_Addition,7,extraversion,I talk to a lot of different people at parties.,3.0,3,0.0,Addition,log
107,Stacked_L0.0_Addition,8,extraversion,I don't like to draw attention to myself.,4.0,4,0.0,Addition,log
108,Stacked_L0.0_Addition,9,extraversion,I don't mind being the center of attention.,3.0,3,0.0,Addition,log
109,Stacked_L0.0_Addition,10,extraversion,I am quiet around strangers.,3.0,3,0.0,Addition,log
110,Stacked_L0.0_Addition,11,neuroticism,I get stressed out easily.,3.0,3,0.0,Addition,log
111,Stacked_L0.0_Addition,12,neuroticism,I am relaxed most of the time.,3.0,3,0.0,Addition,log
112,Stacked_L0.0_Addition,13,neuroticism,I worry about things.,3.0,3,0.0,Addition,log
113,Stacked_L0.0_Addition,14,neuroticism,I seldom feel blue.,3.0,3,0.0,Addition,log
114,Stacked_L0.0_Addition,15,neuroticism,I am easily disturbed.,3.0,3,0.0,Addition,log
115,Stacked_L0.0_Addition,16,neuroticism,I get upset easily.,3.0,3,0.0,Addition,log
116,Stacked_L0.0_Addition,17,neuroticism,I change my mood a lot.,3.0,3,0.0,Addition,log
117,Stacked_L0.0_Addition,18,neuroticism,I have frequent mood swings.,3.0,3,0.0,Addition,log
118,Stacked_L0.0_Addition,19,neuroticism,I get irritated easily.,3.0,3,0.0,Addition,log
119,Stacked_L0.0_Addition,20,neuroticism,I often feel blue.,3.0,3,0.0,Addition,log
120,Stacked_L0.0_Addition,21,agreeableness,I feel little concern for others.,3.0,3,0.0,Addition,log
121,Stacked_L0.0_Addition,22,agreeableness,I am interested in people.,4.0,4,0.0,Addition,log
122,Stacked_L0.0_Addition,23,agreeableness,I insult people.,3.0,3,0.0,Addition,log
123,Stacked_L0.0_Addition,24,agreeableness,I sympathize with others' feelings.,4.0,4,0.0,Addition,log
124,Stacked_L0.0_Addition,25,agreeableness,I am not interested in other people's problems.,3.0,3,0.0,Addition,log
125,Stacked_L0.0_Addition,26,agreeableness,I have a soft heart.,3.0,3,0.0,Addition,log
126,Stacked_L0.0_Addition,27,agreeableness,I am not really interested in others.,3.0,3,0.0,Addition,log
127,Stacked_L0.0_Addition,28,agreeableness,I take time out for others.,3.0,3,0.0,Addition,log
