Model,neuroticism,extraversion,openness,agreeableness,conscientiousness
Base_Control_Base_Control_0.0,11.33,21.33,30.33,40.0,26.33
Instruct_Baseline_Instruct_Baseline_0.0,6.33,30.67,33.0,32.67,18.0
Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,6.33,31.0,33.0,33.33,19.67
Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,6.67,31.67,32.33,32.33,19.0
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,7.33,31.33,32.67,32.33,18.33
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,6.33,31.0,33.33,32.33,21.33
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,6.67,30.67,34.33,33.0,19.0
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,7.33,30.67,33.67,32.0,19.33
Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,8.67,15.33,34.33,34.0,33.0
Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,9.67,15.0,36.33,35.33,26.0
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,9.67,14.0,39.0,37.33,29.33
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,8.0,15.0,35.33,34.33,32.33
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,8.0,18.0,33.67,34.33,29.67
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,9.0,17.0,34.67,33.67,28.0
Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,14.0,13.0,29.0,35.0,23.0
Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,14.67,11.67,26.67,32.33,21.0
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,34.0,10.67,17.33,30.67,12.33
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,8.67,16.67,34.33,35.67,35.0
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,10.0,14.67,37.33,35.67,25.0
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,7.67,13.67,39.33,36.33,28.67
Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,12.67,10.0,25.33,38.67,23.67
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,27.0,13.0,14.67,18.0,16.67
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,35.33,12.0,19.33,32.67,16.33
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,9.0,11.33,32.33,35.33,28.0
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,19.33,14.67,28.33,32.67,27.0
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,13.0,10.0,29.33,36.67,23.33
Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,12.0,9.67,21.33,27.67,32.0
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,23.33,12.33,17.67,27.0,22.0
Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,26.0,10.0,26.67,33.33,20.33
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,8.67,12.0,32.67,34.33,25.33
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,15.67,11.67,26.33,33.0,20.0
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,33.67,10.0,16.67,30.0,13.0
Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,15.67,19.33,22.67,41.0,23.33
Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,25.33,13.33,20.33,32.67,20.67
Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,24.0,10.67,15.67,30.0,22.67
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,18.0,12.0,13.67,30.0,36.0
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,25.67,14.33,17.0,34.0,17.33
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,23.67,10.67,25.33,26.67,19.67
sft_extraversion_high_none_0.0,12.67,47.67,39.67,44.0,36.67
sft_extraversion_low_none_0.0,36.0,5.67,33.0,34.33,29.0
sft_neuroticism_high_none_0.0,46.33,3.67,21.0,30.67,20.67
sft_neuroticism_low_none_0.0,6.67,13.0,36.0,43.0,39.67
