model,run,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
Base_Control,1.0,2.9,2.8,3.3,3.9,3.3
Instruct_Baseline,1.0,2.9,3.0,3.2,3.0,3.0
Stacked_L0.0_Addition,1.0,2.9,3.0,3.2,3.0,3.0
Stacked_L0.0_Normalized,1.0,2.9,3.0,3.2,3.0,3.0
Stacked_L0.5_Addition,1.0,2.8,3.3,2.7,3.0,3.2
Stacked_L0.5_Normalized,1.0,2.8,2.8,2.5,3.0,2.6
Stacked_L1.0_Addition,1.0,2.9,3.6,3.2,3.2,3.4
Stacked_L1.0_Normalized,1.0,2.8,3.3,2.7,3.0,3.2
Stacked_L1.5_Addition,1.0,2.6666666666666665,2.0,4.0,,
Stacked_L1.5_Normalized,1.0,2.8,3.7,3.2,3.2,3.1
Stacked_L2.0_Normalized,1.0,2.9,3.6,3.2,3.2,3.4
Stacked_L2.5_Normalized,1.0,2.75,3.6,3.2,3.2,3.4
