Model,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
Base_Control_Base_Control_0.0,Base_Control_Base_Control_0.0,5,21,33,43,30
Instruct_Baseline_Instruct_Baseline_0.0,Instruct_Baseline_Instruct_Baseline_0.0,7,33,37,33,17
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,7,34,34,35,16
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,9,32,36,34,18
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,10,14,40,40,31
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,11,17,35,34,30
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,35,9,14,30,12
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,9,12,41,39,32
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,34,11,18,32,16
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,15,9,35,39,24
Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,23,10,27,37,21
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,35,7,15,30,13
Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,24,9,12,29,26
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,19,9,21,30,20
Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,6,36,36,33,18
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,7,34,37,36,17
Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,12,14,39,38,27
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,10,18,36,35,31
Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,10,9,31,34,22
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,13,13,39,38,27
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,23,12,14,15,26
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,18,13,30,33,29
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,22,12,13,26,28
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,14,10,27,36,20
Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,22,14,20,35,20
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,21,16,16,39,27
Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,7,34,36,36,19
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,7,33,37,35,20
Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,11,15,33,36,35
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,9,14,34,35,35
Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,14,12,34,37,23
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,9,17,32,38,39
Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,14,11,29,40,23
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,8,7,35,38,29
Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,7,7,18,31,36
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,6,10,36,37,28
Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,9,21,22,41,23
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,17,8,9,32,43
