,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
Base_Control_Base_Control_0.0,Base_Control_Base_Control_0.0,10,20,30,38,25
Instruct_Baseline_Instruct_Baseline_0.0,Instruct_Baseline_Instruct_Baseline_0.0,5,30,29,35,14
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,7,31,28,35,15
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,5,31,30,34,17
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,14,14,37,36,28
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,6,17,31,35,28
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,34,14,17,32,12
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,8,15,38,35,27
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,33,14,18,32,16
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,9,11,28,34,20
Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,27,12,28,32,17
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,33,13,15,30,12
Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,24,12,13,33,24
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,21,11,24,23,17
Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,7,30,29,33,15
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,6,29,30,35,16
Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,10,16,32,35,25
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,4,17,30,36,30
Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,13,12,23,32,17
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,10,15,34,36,22
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,27,14,13,15,13
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,17,15,25,34,26
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,21,14,17,28,20
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,12,11,25,32,17
Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,25,14,18,33,24
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,27,14,15,34,12
Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,6,30,28,33,16
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,6,31,30,34,20
Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,6,15,34,33,33
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,6,14,34,35,31
Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,15,13,25,33,21
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,7,14,34,36,34
Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,13,11,21,37,21
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,8,12,31,33,26
Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,15,12,22,24,33
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,9,12,33,32,23
Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,17,16,22,37,23
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,16,14,14,32,35
