Model,neuroticism,extraversion,openness,agreeableness,conscientiousness
Base_Control_Base_Control_0.0,12.33,22.0,32.33,39.33,27.33
Instruct_Baseline_Instruct_Baseline_0.0,5.67,31.33,34.0,34.0,19.33
Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,6.67,31.0,34.0,32.33,19.67
Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,6.0,30.67,34.33,32.67,18.67
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,6.33,31.0,33.33,32.33,19.0
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,7.0,30.67,34.67,33.0,20.67
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,7.33,30.33,32.67,33.0,19.33
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,6.67,30.67,32.33,32.67,20.67
Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,8.33,16.33,33.67,34.33,33.0
Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,10.0,15.67,37.33,36.33,26.0
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,11.0,14.0,38.33,37.33,28.33
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,7.67,16.0,35.33,34.0,32.67
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,7.0,18.0,35.0,34.33,28.33
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,8.0,17.33,34.67,35.0,28.33
Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,14.33,13.33,29.33,35.67,23.67
Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,15.33,11.0,26.33,33.33,20.67
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,33.33,10.67,19.0,29.33,12.67
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,8.67,15.67,34.67,35.67,34.33
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,11.67,15.33,37.67,36.0,25.67
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,10.67,13.67,40.0,37.0,29.0
Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,12.0,10.0,24.0,38.33,25.33
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,25.33,13.0,16.33,17.0,17.0
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,36.67,11.33,20.67,33.67,15.33
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,8.0,11.33,32.67,35.33,29.67
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,19.33,14.67,26.0,33.0,27.0
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,12.67,10.67,28.67,36.0,23.33
Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,12.67,9.0,20.0,27.67,31.67
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,21.33,13.0,16.33,28.0,22.33
Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,26.67,9.33,26.0,32.0,19.67
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,9.33,12.33,31.0,34.67,26.67
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,14.67,12.67,26.67,32.67,21.0
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,32.33,10.67,17.67,31.0,13.0
Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,17.0,19.33,23.67,39.67,22.33
Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,24.33,13.67,20.33,32.0,21.33
Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,24.67,10.67,15.67,27.67,20.0
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,19.33,12.33,14.67,28.33,36.33
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,25.67,14.67,17.33,33.67,17.33
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,24.33,11.33,25.0,27.67,19.67
sft_extraversion_high_none_0.0,12.67,47.67,39.67,44.0,36.67
sft_extraversion_low_none_0.0,36.0,5.67,33.0,34.33,29.0
