model,run,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
Base_Control,1.0,2.9,2.8,3.3,3.9,3.3
Instruct_Baseline,1.0,2.9,3.0,3.2,3.0,3.0
Stacked_L-0.5_Addition,1.0,3.0,3.0,3.0,3.0,3.0
Stacked_L-0.5_Normalized,1.0,3.0,3.0,3.0,3.0,3.0
Stacked_L-1.0_Addition,1.0,2.8,3.0,3.1,2.9,3.2
Stacked_L-1.0_Normalized,1.0,3.0,3.0,3.0,3.0,3.0
Stacked_L-1.5_Addition,1.0,3.0,3.4,3.2,3.2,3.4
Stacked_L-1.5_Normalized,1.0,2.9,3.0,3.0,3.0,3.0
Stacked_L-2.0_Addition,1.0,,,2.0,,
Stacked_L-2.0_Normalized,1.0,2.8,3.0,3.1,2.9,3.2
Stacked_L-2.5_Addition,1.0,3.0,1.8,2.6,2.6,2.2
Stacked_L-2.5_Normalized,1.0,2.9,2.9,3.2,3.3,3.3
