,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
Base_Control_Base_Control_0.0,Base_Control_Base_Control_0.0,7,21,36,43,30
Instruct_Baseline_Instruct_Baseline_0.0,Instruct_Baseline_Instruct_Baseline_0.0,7,33,36,36,16
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,6,34,37,33,17
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,8,33,33,33,22
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,11,13,40,42,29
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,11,18,35,37,30
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,34,8,16,30,13
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,12,12,40,40,30
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,37,10,18,33,14
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,11,9,35,37,22
Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,24,8,25,34,19
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,31,8,15,33,12
Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,24,10,11,29,22
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,22,11,20,29,17
Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,7,33,36,34,15
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,8,33,36,35,17
Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,13,14,39,39,28
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,7,18,36,36,30
Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,13,8,31,36,21
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,11,14,40,40,30
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,18,15,15,15,27
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,18,13,26,35,29
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,16,14,13,25,27
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,12,10,30,36,20
Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,22,14,20,33,23
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,20,15,17,37,27
Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,7,33,36,34,19
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,9,33,37,37,21
Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,7,16,33,36,35
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,7,15,34,37,36
Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,15,14,34,39,24
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,7,14,35,38,37
Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,11,13,27,40,27
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,6,8,35,38,33
Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,8,6,20,31,36
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,6,10,34,38,30
Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,6,17,25,41,22
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,18,6,12,31,43
