,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
Base_Control_Base_Control_0.0,Base_Control_Base_Control_0.0,10,21,32,38,27
Instruct_Baseline_Instruct_Baseline_0.0,Instruct_Baseline_Instruct_Baseline_0.0,4,31,30,36,18
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,5,31,30,35,16
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,6,30,30,36,16
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,12,16,36,35,27
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,5,16,31,36,29
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,34,14,16,28,12
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,13,14,37,35,28
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,32,12,18,34,15
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,12,12,25,35,21
Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,29,12,26,31,17
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,34,14,17,30,13
Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,27,12,14,26,21
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,20,12,23,27,20
Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,3,30,32,36,17
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,6,30,28,34,17
Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,11,17,35,37,24
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,4,19,32,35,29
Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,12,11,21,33,18
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,16,17,36,36,21
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,27,14,16,16,14
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,17,15,23,32,24
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,22,14,14,30,21
