,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
Base_Control_Base_Control_0.0,Base_Control_Base_Control_0.0,20,24,29,37,25
Instruct_Baseline_Instruct_Baseline_0.0,Instruct_Baseline_Instruct_Baseline_0.0,6,30,36,30,24
Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_log_0.0,8,28,33,29,24
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_log_0.0,6,29,34,29,24
Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_log_0.5,10,13,39,35,29
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_log_0.5,8,18,38,32,26
Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_log_1.0,32,10,25,30,13
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_log_1.0,7,15,43,36,29
Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_log_1.5,41,12,26,34,17
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_log_1.5,15,11,26,36,27
Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_log_2.0,27,8,27,31,23
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_log_2.0,32,10,21,30,14
Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_log_2.5,23,10,22,28,17
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_log_2.5,31,11,32,27,22
Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_linear_0.0,8,29,35,28,24
