Model,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
base_none_0.0,base_none_0.0,30.0,35.33,35.67,35.67,19.0
instruct_none_0.0,instruct_none_0.0,22.33,15.33,37.33,42.67,40.67
lata_agreeableness_high_linear_l0.5_linear_0.5,lata_agreeableness_high_linear_l0.5_linear_0.5,24.0,12.67,40.33,43.0,40.33
lata_agreeableness_high_linear_l1.0_linear_1.0,lata_agreeableness_high_linear_l1.0_linear_1.0,23.67,22.67,39.67,44.33,38.33
lata_agreeableness_high_linear_l1.5_linear_1.5,lata_agreeableness_high_linear_l1.5_linear_1.5,27.67,18.33,37.67,43.33,42.33
lata_agreeableness_high_log_l0.5_log_0.5,lata_agreeableness_high_log_l0.5_log_0.5,22.0,17.33,38.0,42.0,38.0
lata_agreeableness_high_log_l1.0_log_1.0,lata_agreeableness_high_log_l1.0_log_1.0,22.67,23.0,40.33,44.33,37.0
lata_agreeableness_high_log_l1.5_log_1.5,lata_agreeableness_high_log_l1.5_log_1.5,23.67,19.0,35.33,44.67,37.67
lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,26.0,17.67,41.0,41.0,39.67
lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,28.0,14.67,39.67,42.67,34.0
lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,27.67,13.0,38.67,40.0,37.0
lata_agreeableness_low_linear_l0.5_linear_0.5,lata_agreeableness_low_linear_l0.5_linear_0.5,31.33,13.33,39.0,38.33,40.67
lata_agreeableness_low_linear_l1.0_linear_1.0,lata_agreeableness_low_linear_l1.0_linear_1.0,33.0,12.67,38.33,37.33,38.67
lata_agreeableness_low_linear_l1.5_linear_1.5,lata_agreeableness_low_linear_l1.5_linear_1.5,32.67,17.33,38.33,17.0,37.0
lata_agreeableness_low_log_l0.5_log_0.5,lata_agreeableness_low_log_l0.5_log_0.5,32.0,12.67,40.33,38.67,40.0
lata_agreeableness_low_log_l1.0_log_1.0,lata_agreeableness_low_log_l1.0_log_1.0,36.0,12.33,37.33,25.67,35.33
lata_agreeableness_low_log_l1.5_log_1.5,lata_agreeableness_low_log_l1.5_log_1.5,32.67,17.67,36.0,7.67,34.33
lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,25.67,16.33,37.0,41.33,39.33
lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,31.33,13.33,38.0,36.67,40.0
lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,31.33,15.33,37.0,38.0,39.67
lata_conscientiousness_high_linear_l0.5_linear_0.5,lata_conscientiousness_high_linear_l0.5_linear_0.5,25.67,15.0,39.0,42.33,42.0
lata_conscientiousness_high_linear_l1.0_linear_1.0,lata_conscientiousness_high_linear_l1.0_linear_1.0,20.33,14.0,35.67,38.33,42.33
lata_conscientiousness_high_linear_l1.5_linear_1.5,lata_conscientiousness_high_linear_l1.5_linear_1.5,22.67,14.0,33.33,35.0,45.0
lata_conscientiousness_high_linear_l2.0_linear_2.0,lata_conscientiousness_high_linear_l2.0_linear_2.0,26.0,15.0,34.33,34.0,43.67
lata_conscientiousness_high_log_l0.5_log_0.5,lata_conscientiousness_high_log_l0.5_log_0.5,27.0,15.33,37.67,37.67,43.33
lata_conscientiousness_high_log_l1.0_log_1.0,lata_conscientiousness_high_log_l1.0_log_1.0,29.0,14.67,35.67,38.33,42.67
lata_conscientiousness_high_log_l1.5_log_1.5,lata_conscientiousness_high_log_l1.5_log_1.5,25.33,16.0,37.33,35.33,41.67
lata_conscientiousness_high_log_l2.0_log_2.0,lata_conscientiousness_high_log_l2.0_log_2.0,22.0,13.67,33.33,38.67,47.33
lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,25.33,18.33,40.0,42.67,40.0
lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,22.0,15.33,40.67,40.67,38.67
lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,26.33,15.67,38.67,37.33,43.67
lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,27.33,13.33,39.33,35.33,33.33
lata_conscientiousness_low_linear_l0.5_linear_0.5,lata_conscientiousness_low_linear_l0.5_linear_0.5,30.67,17.0,40.0,40.67,34.67
lata_conscientiousness_low_linear_l1.0_linear_1.0,lata_conscientiousness_low_linear_l1.0_linear_1.0,37.0,17.0,36.67,37.67,17.33
lata_conscientiousness_low_linear_l1.5_linear_1.5,lata_conscientiousness_low_linear_l1.5_linear_1.5,41.67,12.33,37.0,38.67,9.67
lata_conscientiousness_low_linear_l2.0_linear_2.0,lata_conscientiousness_low_linear_l2.0_linear_2.0,40.33,15.0,36.67,31.67,6.67
lata_conscientiousness_low_log_l0.5_log_0.5,lata_conscientiousness_low_log_l0.5_log_0.5,31.33,20.0,39.67,37.33,31.33
lata_conscientiousness_low_log_l1.0_log_1.0,lata_conscientiousness_low_log_l1.0_log_1.0,40.0,20.0,36.33,35.33,13.0
lata_conscientiousness_low_log_l1.5_log_1.5,lata_conscientiousness_low_log_l1.5_log_1.5,39.0,21.67,32.33,29.67,9.0
lata_conscientiousness_low_log_l2.0_log_2.0,lata_conscientiousness_low_log_l2.0_log_2.0,38.67,13.33,26.0,28.0,5.33
lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,30.0,14.0,39.0,40.67,38.33
lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,35.0,10.33,38.67,39.0,25.33
lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,36.0,11.33,40.0,32.33,17.33
lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,36.33,10.33,39.67,29.33,15.33
lata_extraversion_high_linear_l0.5_linear_0.5,lata_extraversion_high_linear_l0.5_linear_0.5,20.33,33.67,40.33,43.33,39.33
