Unnamed: 0,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
sft_conscientiousness_high_none_0.0,sft_conscientiousness_high_none_0.0,21,13,34,40,48
sft_conscientiousness_low_none_0.0,sft_conscientiousness_low_none_0.0,40,18,24,29,2
lata_conscientiousness_high_linear_l0.5_linear_0.5,lata_conscientiousness_high_linear_l0.5_linear_0.5,30,16,38,44,46
lata_conscientiousness_high_linear_l1.0_linear_1.0,lata_conscientiousness_high_linear_l1.0_linear_1.0,27,14,37,41,43
lata_conscientiousness_high_linear_l1.5_linear_1.5,lata_conscientiousness_high_linear_l1.5_linear_1.5,28,15,34,38,45
lata_conscientiousness_high_linear_l2.0_linear_2.0,lata_conscientiousness_high_linear_l2.0_linear_2.0,32,17,37,36,45
lata_conscientiousness_high_log_l0.5_log_0.5,lata_conscientiousness_high_log_l0.5_log_0.5,31,17,38,41,45
lata_conscientiousness_high_log_l1.0_log_1.0,lata_conscientiousness_high_log_l1.0_log_1.0,29,17,40,41,45
lata_conscientiousness_high_log_l1.5_log_1.5,lata_conscientiousness_high_log_l1.5_log_1.5,25,21,37,35,46
lata_conscientiousness_high_log_l2.0_log_2.0,lata_conscientiousness_high_log_l2.0_log_2.0,27,17,33,38,48
lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,25,19,41,45,43
lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,22,13,41,44,43
lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,32,20,38,37,46
lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,29,13,39,37,38
lata_conscientiousness_low_linear_l0.5_linear_0.5,lata_conscientiousness_low_linear_l0.5_linear_0.5,32,17,41,45,39
lata_conscientiousness_low_linear_l1.0_linear_1.0,lata_conscientiousness_low_linear_l1.0_linear_1.0,41,22,41,41,16
lata_conscientiousness_low_linear_l1.5_linear_1.5,lata_conscientiousness_low_linear_l1.5_linear_1.5,41,15,40,44,10
lata_conscientiousness_low_linear_l2.0_linear_2.0,lata_conscientiousness_low_linear_l2.0_linear_2.0,44,14,38,34,4
lata_conscientiousness_low_log_l0.5_log_0.5,lata_conscientiousness_low_log_l0.5_log_0.5,36,25,42,40,37
lata_conscientiousness_low_log_l1.0_log_1.0,lata_conscientiousness_low_log_l1.0_log_1.0,42,24,40,37,11
lata_conscientiousness_low_log_l1.5_log_1.5,lata_conscientiousness_low_log_l1.5_log_1.5,43,23,36,25,8
lata_conscientiousness_low_log_l2.0_log_2.0,lata_conscientiousness_low_log_l2.0_log_2.0,45,14,27,25,4
lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,35,17,42,44,42
lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,39,13,42,41,30
lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,40,10,43,33,17
lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,40,10,42,30,15
base_none_0.0,base_none_0.0,33,34,38,37,20
instruct_none_0.0,instruct_none_0.0,25,16,39,46,45
sft_agreeableness_high_none_0.0,sft_agreeableness_high_none_0.0,26,22,38,44,39
sft_agreeableness_low_none_0.0,sft_agreeableness_low_none_0.0,13,20,13,1,29
sft_extraversion_high_none_0.0,sft_extraversion_high_none_0.0,15,48,42,44,39
sft_extraversion_low_none_0.0,sft_extraversion_low_none_0.0,39,5,34,34,29
sft_neuroticism_high_none_0.0,sft_neuroticism_high_none_0.0,45,8,20,28,20
sft_neuroticism_low_none_0.0,sft_neuroticism_low_none_0.0,4,14,39,46,42
sft_openness_high_none_0.0,sft_openness_high_none_0.0,25,38,44,40,14
sft_openness_low_none_0.0,sft_openness_low_none_0.0,35,4,10,37,36
lata_agreeableness_high_linear_l0.5_linear_0.5,lata_agreeableness_high_linear_l0.5_linear_0.5,26,10,42,46,44
lata_agreeableness_high_linear_l1.0_linear_1.0,lata_agreeableness_high_linear_l1.0_linear_1.0,26,25,40,46,41
lata_agreeableness_high_linear_l1.5_linear_1.5,lata_agreeableness_high_linear_l1.5_linear_1.5,32,15,35,42,46
lata_agreeableness_high_log_l0.5_log_0.5,lata_agreeableness_high_log_l0.5_log_0.5,23,18,38,43,42
lata_agreeableness_high_log_l1.0_log_1.0,lata_agreeableness_high_log_l1.0_log_1.0,23,27,40,45,43
lata_agreeableness_high_log_l1.5_log_1.5,lata_agreeableness_high_log_l1.5_log_1.5,27,21,37,45,39
lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,28,17,40,42,43
lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,29,17,41,46,37
lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,31,14,41,41,40
lata_agreeableness_low_linear_l0.5_linear_0.5,lata_agreeableness_low_linear_l0.5_linear_0.5,34,11,40,40,45
lata_agreeableness_low_linear_l1.0_linear_1.0,lata_agreeableness_low_linear_l1.0_linear_1.0,37,14,40,37,44
lata_agreeableness_low_linear_l1.5_linear_1.5,lata_agreeableness_low_linear_l1.5_linear_1.5,34,17,42,14,42
lata_agreeableness_low_log_l0.5_log_0.5,lata_agreeableness_low_log_l0.5_log_0.5,34,11,43,42,41
lata_agreeableness_low_log_l1.0_log_1.0,lata_agreeableness_low_log_l1.0_log_1.0,38,13,39,24,33
lata_agreeableness_low_log_l1.5_log_1.5,lata_agreeableness_low_log_l1.5_log_1.5,34,19,39,4,41
lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,29,22,35,46,45
lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,34,13,39,39,44
lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,35,16,41,40,42
lata_extraversion_high_linear_l0.5_linear_0.5,lata_extraversion_high_linear_l0.5_linear_0.5,24,36,43,46,42
lata_extraversion_high_linear_l1.0_linear_1.0,lata_extraversion_high_linear_l1.0_linear_1.0,22,40,42,47,46
lata_extraversion_high_linear_l1.5_linear_1.5,lata_extraversion_high_linear_l1.5_linear_1.5,18,45,42,45,42
lata_extraversion_high_log_l0.5_log_0.5,lata_extraversion_high_log_l0.5_log_0.5,17,43,38,47,41
lata_extraversion_high_log_l1.0_log_1.0,lata_extraversion_high_log_l1.0_log_1.0,13,46,39,45,35
lata_extraversion_high_log_l1.5_log_1.5,lata_extraversion_high_log_l1.5_log_1.5,17,47,39,41,39
lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,32,17,40,43,45
lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,27,30,43,45,41
lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,38,16,43,44,39
lata_extraversion_low_linear_l0.5_linear_0.5,lata_extraversion_low_linear_l0.5_linear_0.5,31,11,38,43,43
lata_extraversion_low_linear_l1.0_linear_1.0,lata_extraversion_low_linear_l1.0_linear_1.0,33,5,42,41,42
lata_extraversion_low_linear_l1.5_linear_1.5,lata_extraversion_low_linear_l1.5_linear_1.5,33,7,40,37,40
lata_extraversion_low_log_l0.5_log_0.5,lata_extraversion_low_log_l0.5_log_0.5,36,6,40,40,42
lata_extraversion_low_log_l1.0_log_1.0,lata_extraversion_low_log_l1.0_log_1.0,37,5,40,42,38
lata_extraversion_low_log_l1.5_log_1.5,lata_extraversion_low_log_l1.5_log_1.5,38,3,38,38,43
lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,34,10,42,43,44
lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,36,9,42,43,42
lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,33,14,41,44,40
lata_neuroticism_high_linear_l0.5_linear_0.5,lata_neuroticism_high_linear_l0.5_linear_0.5,38,11,41,42,38
lata_neuroticism_high_linear_l1.0_linear_1.0,lata_neuroticism_high_linear_l1.0_linear_1.0,41,7,40,34,26
lata_neuroticism_high_linear_l1.5_linear_1.5,lata_neuroticism_high_linear_l1.5_linear_1.5,46,8,37,31,27
lata_neuroticism_high_log_l0.5_log_0.5,lata_neuroticism_high_log_l0.5_log_0.5,39,9,40,38,42
lata_neuroticism_high_log_l1.0_log_1.0,lata_neuroticism_high_log_l1.0_log_1.0,43,9,39,33,20
