Unnamed: 0,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
sft_conscientiousness_high_none_0.0,sft_conscientiousness_high_none_0.0,14,10,30,40,45
sft_conscientiousness_low_none_0.0,sft_conscientiousness_low_none_0.0,34,19,22,30,6
lata_conscientiousness_high_linear_l0.5_linear_0.5,lata_conscientiousness_high_linear_l0.5_linear_0.5,26,12,40,46,40
lata_conscientiousness_high_linear_l1.0_linear_1.0,lata_conscientiousness_high_linear_l1.0_linear_1.0,16,15,33,40,43
lata_conscientiousness_high_linear_l1.5_linear_1.5,lata_conscientiousness_high_linear_l1.5_linear_1.5,18,14,34,37,45
lata_conscientiousness_high_linear_l2.0_linear_2.0,lata_conscientiousness_high_linear_l2.0_linear_2.0,25,16,35,36,44
lata_conscientiousness_high_log_l0.5_log_0.5,lata_conscientiousness_high_log_l0.5_log_0.5,28,13,36,40,43
lata_conscientiousness_high_log_l1.0_log_1.0,lata_conscientiousness_high_log_l1.0_log_1.0,29,13,35,43,42
lata_conscientiousness_high_log_l1.5_log_1.5,lata_conscientiousness_high_log_l1.5_log_1.5,26,14,36,40,42
lata_conscientiousness_high_log_l2.0_log_2.0,lata_conscientiousness_high_log_l2.0_log_2.0,22,12,33,40,47
lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,26,17,38,46,38
lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,21,13,39,43,35
lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,25,15,37,40,43
lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,28,12,39,37,32
lata_conscientiousness_low_linear_l0.5_linear_0.5,lata_conscientiousness_low_linear_l0.5_linear_0.5,29,13,39,41,35
lata_conscientiousness_low_linear_l1.0_linear_1.0,lata_conscientiousness_low_linear_l1.0_linear_1.0,40,14,35,38,14
lata_conscientiousness_low_linear_l1.5_linear_1.5,lata_conscientiousness_low_linear_l1.5_linear_1.5,42,12,36,37,9
lata_conscientiousness_low_linear_l2.0_linear_2.0,lata_conscientiousness_low_linear_l2.0_linear_2.0,40,14,35,30,8
lata_conscientiousness_low_log_l0.5_log_0.5,lata_conscientiousness_low_log_l0.5_log_0.5,32,16,37,39,29
lata_conscientiousness_low_log_l1.0_log_1.0,lata_conscientiousness_low_log_l1.0_log_1.0,41,15,35,34,12
lata_conscientiousness_low_log_l1.5_log_1.5,lata_conscientiousness_low_log_l1.5_log_1.5,38,21,30,32,8
lata_conscientiousness_low_log_l2.0_log_2.0,lata_conscientiousness_low_log_l2.0_log_2.0,36,14,23,28,3
lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,29,12,37,42,39
lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,35,8,37,41,20
lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,36,13,37,31,18
lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,36,11,39,30,13
base_none_0.0,base_none_0.0,34,37,32,33,17
instruct_none_0.0,instruct_none_0.0,19,15,37,44,39
sft_agreeableness_high_none_0.0,sft_agreeableness_high_none_0.0,24,19,34,46,38
sft_agreeableness_low_none_0.0,sft_agreeableness_low_none_0.0,6,21,17,2,26
sft_extraversion_high_none_0.0,sft_extraversion_high_none_0.0,11,48,38,45,38
sft_extraversion_low_none_0.0,sft_extraversion_low_none_0.0,36,5,32,34,24
sft_neuroticism_high_none_0.0,sft_neuroticism_high_none_0.0,46,1,17,30,23
sft_neuroticism_low_none_0.0,sft_neuroticism_low_none_0.0,6,11,33,43,40
sft_openness_high_none_0.0,sft_openness_high_none_0.0,18,33,42,39,24
sft_openness_low_none_0.0,sft_openness_low_none_0.0,30,5,10,33,32
lata_agreeableness_high_linear_l0.5_linear_0.5,lata_agreeableness_high_linear_l0.5_linear_0.5,23,13,38,45,39
lata_agreeableness_high_linear_l1.0_linear_1.0,lata_agreeableness_high_linear_l1.0_linear_1.0,24,22,38,46,36
lata_agreeableness_high_linear_l1.5_linear_1.5,lata_agreeableness_high_linear_l1.5_linear_1.5,27,21,38,46,42
lata_agreeableness_high_log_l0.5_log_0.5,lata_agreeableness_high_log_l0.5_log_0.5,23,16,38,44,37
lata_agreeableness_high_log_l1.0_log_1.0,lata_agreeableness_high_log_l1.0_log_1.0,22,21,40,46,35
