Unnamed: 0,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
sft_conscientiousness_high_none_0.0,sft_conscientiousness_high_none_0.0,12,12,31,36,47
sft_conscientiousness_low_none_0.0,sft_conscientiousness_low_none_0.0,33,15,27,35,9
lata_conscientiousness_high_linear_l0.5_linear_0.5,lata_conscientiousness_high_linear_l0.5_linear_0.5,21,17,39,37,40
lata_conscientiousness_high_linear_l1.0_linear_1.0,lata_conscientiousness_high_linear_l1.0_linear_1.0,18,13,37,34,41
lata_conscientiousness_high_linear_l1.5_linear_1.5,lata_conscientiousness_high_linear_l1.5_linear_1.5,22,13,32,30,45
lata_conscientiousness_high_linear_l2.0_linear_2.0,lata_conscientiousness_high_linear_l2.0_linear_2.0,21,12,31,30,42
lata_conscientiousness_high_log_l0.5_log_0.5,lata_conscientiousness_high_log_l0.5_log_0.5,22,16,39,32,42
lata_conscientiousness_high_log_l1.0_log_1.0,lata_conscientiousness_high_log_l1.0_log_1.0,29,14,32,31,41
lata_conscientiousness_high_log_l1.5_log_1.5,lata_conscientiousness_high_log_l1.5_log_1.5,25,13,39,31,37
lata_conscientiousness_high_log_l2.0_log_2.0,lata_conscientiousness_high_log_l2.0_log_2.0,17,12,34,38,47
lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_high_thr_0p95_l0.5_thr_0p95_0.5,25,19,41,37,39
lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_high_thr_0p95_l1.0_thr_0p95_1.0,23,20,42,35,38
lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_high_thr_0p95_l1.5_thr_0p95_1.5,22,12,41,35,42
lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_high_thr_0p95_l2.0_thr_0p95_2.0,25,15,40,32,30
lata_conscientiousness_low_linear_l0.5_linear_0.5,lata_conscientiousness_low_linear_l0.5_linear_0.5,31,21,40,36,30
lata_conscientiousness_low_linear_l1.0_linear_1.0,lata_conscientiousness_low_linear_l1.0_linear_1.0,30,15,34,34,22
lata_conscientiousness_low_linear_l1.5_linear_1.5,lata_conscientiousness_low_linear_l1.5_linear_1.5,42,10,35,35,10
lata_conscientiousness_low_linear_l2.0_linear_2.0,lata_conscientiousness_low_linear_l2.0_linear_2.0,37,17,37,31,8
lata_conscientiousness_low_log_l0.5_log_0.5,lata_conscientiousness_low_log_l0.5_log_0.5,26,19,40,33,28
lata_conscientiousness_low_log_l1.0_log_1.0,lata_conscientiousness_low_log_l1.0_log_1.0,37,21,34,35,16
lata_conscientiousness_low_log_l1.5_log_1.5,lata_conscientiousness_low_log_l1.5_log_1.5,36,21,31,32,11
lata_conscientiousness_low_log_l2.0_log_2.0,lata_conscientiousness_low_log_l2.0_log_2.0,35,12,28,31,9
lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_conscientiousness_low_thr_0p95_l0.5_thr_0p95_0.5,26,13,38,36,34
lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_conscientiousness_low_thr_0p95_l1.0_thr_0p95_1.0,31,10,37,35,26
lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_conscientiousness_low_thr_0p95_l1.5_thr_0p95_1.5,32,11,40,33,17
lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,lata_conscientiousness_low_thr_0p95_l2.0_thr_0p95_2.0,33,10,38,28,18
base_none_0.0,base_none_0.0,23,35,37,37,20
instruct_none_0.0,instruct_none_0.0,23,15,36,38,38
sft_agreeableness_high_none_0.0,sft_agreeableness_high_none_0.0,21,22,34,42,37
sft_agreeableness_low_none_0.0,sft_agreeableness_low_none_0.0,8,24,12,0,25
sft_extraversion_high_none_0.0,sft_extraversion_high_none_0.0,12,47,39,43,33
sft_extraversion_low_none_0.0,sft_extraversion_low_none_0.0,33,7,33,35,34
sft_neuroticism_high_none_0.0,sft_neuroticism_high_none_0.0,48,2,26,34,19
sft_neuroticism_low_none_0.0,sft_neuroticism_low_none_0.0,10,14,36,40,37
sft_openness_high_none_0.0,sft_openness_high_none_0.0,15,34,43,38,29
sft_openness_low_none_0.0,sft_openness_low_none_0.0,33,5,8,34,24
lata_agreeableness_high_linear_l0.5_linear_0.5,lata_agreeableness_high_linear_l0.5_linear_0.5,23,15,41,38,38
lata_agreeableness_high_linear_l1.0_linear_1.0,lata_agreeableness_high_linear_l1.0_linear_1.0,21,21,41,41,38
lata_agreeableness_high_linear_l1.5_linear_1.5,lata_agreeableness_high_linear_l1.5_linear_1.5,24,19,40,42,39
lata_agreeableness_high_log_l0.5_log_0.5,lata_agreeableness_high_log_l0.5_log_0.5,20,18,38,39,35
lata_agreeableness_high_log_l1.0_log_1.0,lata_agreeableness_high_log_l1.0_log_1.0,23,21,41,42,33
lata_agreeableness_high_log_l1.5_log_1.5,lata_agreeableness_high_log_l1.5_log_1.5,20,19,32,42,34
lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,27,19,42,36,34
lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,27,16,41,37,32
lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,24,16,39,34,36
lata_agreeableness_low_linear_l0.5_linear_0.5,lata_agreeableness_low_linear_l0.5_linear_0.5,27,14,39,34,38
lata_agreeableness_low_linear_l1.0_linear_1.0,lata_agreeableness_low_linear_l1.0_linear_1.0,33,12,39,35,35
lata_agreeableness_low_linear_l1.5_linear_1.5,lata_agreeableness_low_linear_l1.5_linear_1.5,32,16,37,21,38
lata_agreeableness_low_log_l0.5_log_0.5,lata_agreeableness_low_log_l0.5_log_0.5,30,14,40,35,41
lata_agreeableness_low_log_l1.0_log_1.0,lata_agreeableness_low_log_l1.0_log_1.0,35,12,37,30,37
lata_agreeableness_low_log_l1.5_log_1.5,lata_agreeableness_low_log_l1.5_log_1.5,32,16,35,12,34
lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,25,15,39,35,34
lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,27,15,38,33,37
lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,28,17,34,35,35
lata_extraversion_high_linear_l0.5_linear_0.5,lata_extraversion_high_linear_l0.5_linear_0.5,19,29,39,40,35
lata_extraversion_high_linear_l1.0_linear_1.0,lata_extraversion_high_linear_l1.0_linear_1.0,17,35,38,40,38
lata_extraversion_high_linear_l1.5_linear_1.5,lata_extraversion_high_linear_l1.5_linear_1.5,14,38,34,39,32
lata_extraversion_high_log_l0.5_log_0.5,lata_extraversion_high_log_l0.5_log_0.5,16,40,37,42,33
lata_extraversion_high_log_l1.0_log_1.0,lata_extraversion_high_log_l1.0_log_1.0,15,41,33,37,25
lata_extraversion_high_log_l1.5_log_1.5,lata_extraversion_high_log_l1.5_log_1.5,15,41,30,34,25
lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,28,14,39,35,31
lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,23,25,40,39,31
lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,25,21,42,39,35
lata_extraversion_low_linear_l0.5_linear_0.5,lata_extraversion_low_linear_l0.5_linear_0.5,26,11,37,36,35
lata_extraversion_low_linear_l1.0_linear_1.0,lata_extraversion_low_linear_l1.0_linear_1.0,31,9,38,35,33
lata_extraversion_low_linear_l1.5_linear_1.5,lata_extraversion_low_linear_l1.5_linear_1.5,24,9,36,36,31
lata_extraversion_low_log_l0.5_log_0.5,lata_extraversion_low_log_l0.5_log_0.5,28,9,37,35,33
lata_extraversion_low_log_l1.0_log_1.0,lata_extraversion_low_log_l1.0_log_1.0,33,9,36,32,31
lata_extraversion_low_log_l1.5_log_1.5,lata_extraversion_low_log_l1.5_log_1.5,28,9,38,32,35
lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,30,13,41,36,33
lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,29,10,37,35,36
lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,31,11,38,36,32
lata_neuroticism_high_linear_l0.5_linear_0.5,lata_neuroticism_high_linear_l0.5_linear_0.5,30,11,38,34,33
lata_neuroticism_high_linear_l1.0_linear_1.0,lata_neuroticism_high_linear_l1.0_linear_1.0,39,7,38,35,30
lata_neuroticism_high_linear_l1.5_linear_1.5,lata_neuroticism_high_linear_l1.5_linear_1.5,40,5,34,35,21
lata_neuroticism_high_log_l0.5_log_0.5,lata_neuroticism_high_log_l0.5_log_0.5,30,10,38,34,31
lata_neuroticism_high_log_l1.0_log_1.0,lata_neuroticism_high_log_l1.0_log_1.0,41,10,35,34,26
lata_neuroticism_high_log_l1.5_log_1.5,lata_neuroticism_high_log_l1.5_log_1.5,42,4,36,36,16
lata_neuroticism_high_thr_0p95_l0.5_thr_0p95_0.5,lata_neuroticism_high_thr_0p95_l0.5_thr_0p95_0.5,30,16,39,34,33
lata_neuroticism_high_thr_0p95_l1.0_thr_0p95_1.0,lata_neuroticism_high_thr_0p95_l1.0_thr_0p95_1.0,29,10,37,34,32
lata_neuroticism_high_thr_0p95_l1.5_thr_0p95_1.5,lata_neuroticism_high_thr_0p95_l1.5_thr_0p95_1.5,32,14,32,33,26
lata_neuroticism_low_linear_l0.5_linear_0.5,lata_neuroticism_low_linear_l0.5_linear_0.5,16,18,38,38,35
lata_neuroticism_low_linear_l1.0_linear_1.0,lata_neuroticism_low_linear_l1.0_linear_1.0,21,17,41,37,39
lata_neuroticism_low_linear_l1.5_linear_1.5,lata_neuroticism_low_linear_l1.5_linear_1.5,18,25,41,38,39
lata_neuroticism_low_log_l0.5_log_0.5,lata_neuroticism_low_log_l0.5_log_0.5,16,22,39,39,38
lata_neuroticism_low_log_l1.0_log_1.0,lata_neuroticism_low_log_l1.0_log_1.0,17,17,37,41,40
lata_neuroticism_low_log_l1.5_log_1.5,lata_neuroticism_low_log_l1.5_log_1.5,10,20,39,38,40
lata_neuroticism_low_thr_0p95_l0.5_thr_0p95_0.5,lata_neuroticism_low_thr_0p95_l0.5_thr_0p95_0.5,25,20,41,35,32
lata_neuroticism_low_thr_0p95_l1.0_thr_0p95_1.0,lata_neuroticism_low_thr_0p95_l1.0_thr_0p95_1.0,24,18,41,40,34
lata_neuroticism_low_thr_0p95_l1.5_thr_0p95_1.5,lata_neuroticism_low_thr_0p95_l1.5_thr_0p95_1.5,21,15,38,38,37
lata_openness_high_linear_l0.5_linear_0.5,lata_openness_high_linear_l0.5_linear_0.5,24,19,40,37,37
lata_openness_high_linear_l1.0_linear_1.0,lata_openness_high_linear_l1.0_linear_1.0,25,32,41,38,29
lata_openness_high_linear_l1.5_linear_1.5,lata_openness_high_linear_l1.5_linear_1.5,19,28,42,38,24
lata_openness_high_log_l0.5_log_0.5,lata_openness_high_log_l0.5_log_0.5,25,31,42,39,30
lata_openness_high_log_l1.0_log_1.0,lata_openness_high_log_l1.0_log_1.0,13,31,41,35,24
lata_openness_high_log_l1.5_log_1.5,lata_openness_high_log_l1.5_log_1.5,17,35,41,36,21
lata_openness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_openness_high_thr_0p95_l0.5_thr_0p95_0.5,28,20,41,35,37
lata_openness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_openness_high_thr_0p95_l1.0_thr_0p95_1.0,26,19,39,36,37
lata_openness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_openness_high_thr_0p95_l1.5_thr_0p95_1.5,24,13,41,36,33
lata_openness_low_linear_l0.5_linear_0.5,lata_openness_low_linear_l0.5_linear_0.5,24,11,38,34,32
lata_openness_low_linear_l1.0_linear_1.0,lata_openness_low_linear_l1.0_linear_1.0,35,13,32,35,35
lata_openness_low_linear_l1.5_linear_1.5,lata_openness_low_linear_l1.5_linear_1.5,35,10,28,34,28
lata_openness_low_log_l0.5_log_0.5,lata_openness_low_log_l0.5_log_0.5,25,12,40,34,36
lata_openness_low_log_l1.0_log_1.0,lata_openness_low_log_l1.0_log_1.0,28,10,28,35,31
lata_openness_low_log_l1.5_log_1.5,lata_openness_low_log_l1.5_log_1.5,29,8,25,35,34
lata_openness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_openness_low_thr_0p95_l0.5_thr_0p95_0.5,26,19,41,35,32
