Model,Target_Level,Target_Trait,Evaluated_Trait,High_Responses_Pct,Low_Responses_Pct,Is_Target
stacked_neuroticism_high_extraversion_low_log_L0.0_norm,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_neuroticism_high_extraversion_low_log_L0.0_norm,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_neuroticism_high_extraversion_low_log_L0.0_norm,high,Extraversion,Extraversion,26.1,73.9,True
stacked_neuroticism_high_extraversion_low_log_L0.0_norm,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_neuroticism_high_extraversion_low_log_L0.0_norm,high,Extraversion,Openness,46.6,53.4,False
stacked_neuroticism_high_extraversion_low_log_L0.0_add,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_neuroticism_high_extraversion_low_log_L0.0_add,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_neuroticism_high_extraversion_low_log_L0.0_add,high,Extraversion,Extraversion,26.1,73.9,True
stacked_neuroticism_high_extraversion_low_log_L0.0_add,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_neuroticism_high_extraversion_low_log_L0.0_add,high,Extraversion,Openness,46.6,53.4,False
stacked_neuroticism_high_extraversion_low_log_L0.5_norm,high,Extraversion,Agreeableness,65.2,34.8,False
stacked_neuroticism_high_extraversion_low_log_L0.5_norm,high,Extraversion,Conscientiousness,85.8,14.2,False
stacked_neuroticism_high_extraversion_low_log_L0.5_norm,high,Extraversion,Extraversion,20.2,79.8,True
stacked_neuroticism_high_extraversion_low_log_L0.5_norm,high,Extraversion,Neuroticism,22.3,77.7,False
stacked_neuroticism_high_extraversion_low_log_L0.5_norm,high,Extraversion,Openness,39.1,60.9,False
stacked_neuroticism_high_extraversion_low_log_L0.5_add,high,Extraversion,Agreeableness,59.4,40.6,False
stacked_neuroticism_high_extraversion_low_log_L0.5_add,high,Extraversion,Conscientiousness,84.5,15.5,False
stacked_neuroticism_high_extraversion_low_log_L0.5_add,high,Extraversion,Extraversion,15.5,84.5,True
stacked_neuroticism_high_extraversion_low_log_L0.5_add,high,Extraversion,Neuroticism,25.0,75.0,False
stacked_neuroticism_high_extraversion_low_log_L0.5_add,high,Extraversion,Openness,32.8,67.2,False
stacked_neuroticism_high_extraversion_low_log_L1.0_norm,high,Extraversion,Agreeableness,59.4,40.6,False
stacked_neuroticism_high_extraversion_low_log_L1.0_norm,high,Extraversion,Conscientiousness,84.5,15.5,False
stacked_neuroticism_high_extraversion_low_log_L1.0_norm,high,Extraversion,Extraversion,15.5,84.5,True
stacked_neuroticism_high_extraversion_low_log_L1.0_norm,high,Extraversion,Neuroticism,25.0,75.0,False
stacked_neuroticism_high_extraversion_low_log_L1.0_norm,high,Extraversion,Openness,32.8,67.2,False
stacked_neuroticism_high_extraversion_low_log_L1.0_add,high,Extraversion,Agreeableness,45.1,54.9,False
stacked_neuroticism_high_extraversion_low_log_L1.0_add,high,Extraversion,Conscientiousness,79.8,20.2,False
stacked_neuroticism_high_extraversion_low_log_L1.0_add,high,Extraversion,Extraversion,10.7,89.3,True
stacked_neuroticism_high_extraversion_low_log_L1.0_add,high,Extraversion,Neuroticism,30.8,69.2,False
stacked_neuroticism_high_extraversion_low_log_L1.0_add,high,Extraversion,Openness,23.2,76.8,False
stacked_neuroticism_high_extraversion_low_log_L1.5_norm,high,Extraversion,Agreeableness,53.1,46.9,False
stacked_neuroticism_high_extraversion_low_log_L1.5_norm,high,Extraversion,Conscientiousness,83.0,17.0,False
stacked_neuroticism_high_extraversion_low_log_L1.5_norm,high,Extraversion,Extraversion,12.2,87.8,True
stacked_neuroticism_high_extraversion_low_log_L1.5_norm,high,Extraversion,Neuroticism,27.8,72.2,False
stacked_neuroticism_high_extraversion_low_log_L1.5_norm,high,Extraversion,Openness,26.6,73.4,False
stacked_neuroticism_high_extraversion_low_log_L1.5_add,high,Extraversion,Agreeableness,26.4,73.6,False
stacked_neuroticism_high_extraversion_low_log_L1.5_add,high,Extraversion,Conscientiousness,65.2,34.8,False
stacked_neuroticism_high_extraversion_low_log_L1.5_add,high,Extraversion,Extraversion,7.6,92.4,True
stacked_neuroticism_high_extraversion_low_log_L1.5_add,high,Extraversion,Neuroticism,26.2,73.8,False
stacked_neuroticism_high_extraversion_low_log_L1.5_add,high,Extraversion,Openness,14.5,85.5,False
stacked_neuroticism_high_extraversion_low_log_L2.0_norm,high,Extraversion,Agreeableness,45.1,54.9,False
stacked_neuroticism_high_extraversion_low_log_L2.0_norm,high,Extraversion,Conscientiousness,79.8,20.2,False
stacked_neuroticism_high_extraversion_low_log_L2.0_norm,high,Extraversion,Extraversion,10.7,89.3,True
stacked_neuroticism_high_extraversion_low_log_L2.0_norm,high,Extraversion,Neuroticism,30.8,69.2,False
stacked_neuroticism_high_extraversion_low_log_L2.0_norm,high,Extraversion,Openness,23.2,76.8,False
stacked_neuroticism_high_extraversion_low_log_L2.0_add,high,Extraversion,Agreeableness,17.3,82.7,False
stacked_neuroticism_high_extraversion_low_log_L2.0_add,high,Extraversion,Conscientiousness,43.6,56.4,False
stacked_neuroticism_high_extraversion_low_log_L2.0_add,high,Extraversion,Extraversion,8.8,91.2,True
stacked_neuroticism_high_extraversion_low_log_L2.0_add,high,Extraversion,Neuroticism,20.9,79.1,False
stacked_neuroticism_high_extraversion_low_log_L2.0_add,high,Extraversion,Openness,18.0,82.0,False
stacked_neuroticism_high_extraversion_low_log_L2.5_norm,high,Extraversion,Agreeableness,36.5,63.5,False
stacked_neuroticism_high_extraversion_low_log_L2.5_norm,high,Extraversion,Conscientiousness,73.5,26.5,False
stacked_neuroticism_high_extraversion_low_log_L2.5_norm,high,Extraversion,Extraversion,9.0,91.0,True
stacked_neuroticism_high_extraversion_low_log_L2.5_norm,high,Extraversion,Neuroticism,29.6,70.4,False
stacked_neuroticism_high_extraversion_low_log_L2.5_norm,high,Extraversion,Openness,18.0,82.0,False
stacked_neuroticism_high_extraversion_low_log_L2.5_add,high,Extraversion,Agreeableness,88.5,11.5,False
stacked_neuroticism_high_extraversion_low_log_L2.5_add,high,Extraversion,Conscientiousness,86.3,13.7,False
stacked_neuroticism_high_extraversion_low_log_L2.5_add,high,Extraversion,Extraversion,72.1,27.9,True
stacked_neuroticism_high_extraversion_low_log_L2.5_add,high,Extraversion,Neuroticism,76.8,23.2,False
stacked_neuroticism_high_extraversion_low_log_L2.5_add,high,Extraversion,Openness,75.4,24.6,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Extraversion,26.1,73.9,True
stacked_neuroticism_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Openness,46.6,53.4,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_add,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_add,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_add,high,Extraversion,Extraversion,26.1,73.9,True
stacked_neuroticism_high_extraversion_low_linear_L0.0_add,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_neuroticism_high_extraversion_low_linear_L0.0_add,high,Extraversion,Openness,46.6,53.4,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_norm,high,Extraversion,Agreeableness,66.4,33.6,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_norm,high,Extraversion,Conscientiousness,86.4,13.6,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_norm,high,Extraversion,Extraversion,22.0,78.0,True
stacked_neuroticism_high_extraversion_low_linear_L0.5_norm,high,Extraversion,Neuroticism,22.0,78.0,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_norm,high,Extraversion,Openness,41.4,58.6,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_add,high,Extraversion,Agreeableness,62.3,37.7,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_add,high,Extraversion,Conscientiousness,85.4,14.6,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_add,high,Extraversion,Extraversion,17.7,82.3,True
stacked_neuroticism_high_extraversion_low_linear_L0.5_add,high,Extraversion,Neuroticism,23.7,76.3,False
stacked_neuroticism_high_extraversion_low_linear_L0.5_add,high,Extraversion,Openness,36.0,64.0,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_norm,high,Extraversion,Agreeableness,62.3,37.7,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_norm,high,Extraversion,Conscientiousness,85.4,14.6,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_norm,high,Extraversion,Extraversion,17.7,82.3,True
stacked_neuroticism_high_extraversion_low_linear_L1.0_norm,high,Extraversion,Neuroticism,23.7,76.3,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_norm,high,Extraversion,Openness,36.0,64.0,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_add,high,Extraversion,Agreeableness,52.6,47.4,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_add,high,Extraversion,Conscientiousness,83.4,16.6,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_add,high,Extraversion,Extraversion,14.9,85.1,True
stacked_neuroticism_high_extraversion_low_linear_L1.0_add,high,Extraversion,Neuroticism,31.2,68.8,False
stacked_neuroticism_high_extraversion_low_linear_L1.0_add,high,Extraversion,Openness,28.7,71.3,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_norm,high,Extraversion,Agreeableness,58.1,41.9,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_norm,high,Extraversion,Conscientiousness,84.7,15.3,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_norm,high,Extraversion,Extraversion,15.0,85.0,True
stacked_neuroticism_high_extraversion_low_linear_L1.5_norm,high,Extraversion,Neuroticism,27.3,72.7,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_norm,high,Extraversion,Openness,31.3,68.7,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_add,high,Extraversion,Agreeableness,39.2,60.8,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_add,high,Extraversion,Conscientiousness,75.0,25.0,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_add,high,Extraversion,Extraversion,13.2,86.8,True
stacked_neuroticism_high_extraversion_low_linear_L1.5_add,high,Extraversion,Neuroticism,32.3,67.7,False
stacked_neuroticism_high_extraversion_low_linear_L1.5_add,high,Extraversion,Openness,23.7,76.3,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_norm,high,Extraversion,Agreeableness,52.6,47.4,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_norm,high,Extraversion,Conscientiousness,83.4,16.6,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_norm,high,Extraversion,Extraversion,14.9,85.1,True
stacked_neuroticism_high_extraversion_low_linear_L2.0_norm,high,Extraversion,Neuroticism,31.2,68.8,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_norm,high,Extraversion,Openness,28.7,71.3,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_add,high,Extraversion,Agreeableness,16.7,83.3,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_add,high,Extraversion,Conscientiousness,45.5,54.5,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_add,high,Extraversion,Extraversion,5.8,94.2,True
stacked_neuroticism_high_extraversion_low_linear_L2.0_add,high,Extraversion,Neuroticism,17.2,82.8,False
stacked_neuroticism_high_extraversion_low_linear_L2.0_add,high,Extraversion,Openness,11.5,88.5,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_norm,high,Extraversion,Agreeableness,47.3,52.7,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_norm,high,Extraversion,Conscientiousness,80.2,19.8,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_norm,high,Extraversion,Extraversion,13.8,86.2,True
stacked_neuroticism_high_extraversion_low_linear_L2.5_norm,high,Extraversion,Neuroticism,31.8,68.2,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_norm,high,Extraversion,Openness,25.9,74.1,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_add,high,Extraversion,Agreeableness,25.2,74.8,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_add,high,Extraversion,Conscientiousness,36.5,63.5,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_add,high,Extraversion,Extraversion,14.5,85.5,True
stacked_neuroticism_high_extraversion_low_linear_L2.5_add,high,Extraversion,Neuroticism,27.5,72.5,False
stacked_neuroticism_high_extraversion_low_linear_L2.5_add,high,Extraversion,Openness,27.4,72.6,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Extraversion,26.1,73.9,True
stacked_neuroticism_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Openness,46.6,53.4,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Extraversion,26.1,73.9,True
stacked_neuroticism_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_neuroticism_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Openness,46.6,53.4,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_norm,high,Extraversion,Agreeableness,68.1,31.9,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_norm,high,Extraversion,Conscientiousness,86.7,13.3,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_norm,high,Extraversion,Extraversion,24.0,76.0,True
stacked_neuroticism_high_extraversion_low_threshold_L0.5_norm,high,Extraversion,Neuroticism,22.0,78.0,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_norm,high,Extraversion,Openness,43.6,56.4,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_add,high,Extraversion,Agreeableness,65.5,34.5,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_add,high,Extraversion,Conscientiousness,86.3,13.7,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_add,high,Extraversion,Extraversion,22.5,77.5,True
stacked_neuroticism_high_extraversion_low_threshold_L0.5_add,high,Extraversion,Neuroticism,23.8,76.2,False
stacked_neuroticism_high_extraversion_low_threshold_L0.5_add,high,Extraversion,Openness,42.0,58.0,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_norm,high,Extraversion,Agreeableness,65.5,34.5,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_norm,high,Extraversion,Conscientiousness,86.3,13.7,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_norm,high,Extraversion,Extraversion,22.5,77.5,True
stacked_neuroticism_high_extraversion_low_threshold_L1.0_norm,high,Extraversion,Neuroticism,23.8,76.2,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_norm,high,Extraversion,Openness,42.0,58.0,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_add,high,Extraversion,Agreeableness,61.1,38.9,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_add,high,Extraversion,Conscientiousness,85.1,14.9,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_add,high,Extraversion,Extraversion,25.4,74.6,True
stacked_neuroticism_high_extraversion_low_threshold_L1.0_add,high,Extraversion,Neuroticism,30.9,69.1,False
stacked_neuroticism_high_extraversion_low_threshold_L1.0_add,high,Extraversion,Openness,44.6,55.4,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_norm,high,Extraversion,Agreeableness,62.9,37.1,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_norm,high,Extraversion,Conscientiousness,85.7,14.3,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_norm,high,Extraversion,Extraversion,22.8,77.2,True
stacked_neuroticism_high_extraversion_low_threshold_L1.5_norm,high,Extraversion,Neuroticism,28.1,71.9,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_norm,high,Extraversion,Openness,42.6,57.4,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_add,high,Extraversion,Agreeableness,56.8,43.2,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_add,high,Extraversion,Conscientiousness,83.1,16.9,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_add,high,Extraversion,Extraversion,39.4,60.6,True
stacked_neuroticism_high_extraversion_low_threshold_L1.5_add,high,Extraversion,Neuroticism,38.9,61.1,False
stacked_neuroticism_high_extraversion_low_threshold_L1.5_add,high,Extraversion,Openness,55.1,44.9,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_norm,high,Extraversion,Agreeableness,61.1,38.9,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_norm,high,Extraversion,Conscientiousness,85.1,14.9,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_norm,high,Extraversion,Extraversion,25.4,74.6,True
stacked_neuroticism_high_extraversion_low_threshold_L2.0_norm,high,Extraversion,Neuroticism,30.9,69.1,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_norm,high,Extraversion,Openness,44.6,55.4,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_add,high,Extraversion,Agreeableness,49.5,50.5,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_add,high,Extraversion,Conscientiousness,71.1,28.9,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_add,high,Extraversion,Extraversion,48.7,51.3,True
stacked_neuroticism_high_extraversion_low_threshold_L2.0_add,high,Extraversion,Neuroticism,34.9,65.1,False
stacked_neuroticism_high_extraversion_low_threshold_L2.0_add,high,Extraversion,Openness,56.7,43.3,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_norm,high,Extraversion,Agreeableness,58.9,41.1,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_norm,high,Extraversion,Conscientiousness,84.0,16.0,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_norm,high,Extraversion,Extraversion,30.8,69.2,True
stacked_neuroticism_high_extraversion_low_threshold_L2.5_norm,high,Extraversion,Neuroticism,34.1,65.9,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_norm,high,Extraversion,Openness,50.6,49.4,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_add,high,Extraversion,Agreeableness,56.9,43.1,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_add,high,Extraversion,Conscientiousness,82.6,17.4,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_add,high,Extraversion,Extraversion,69.0,31.0,True
stacked_neuroticism_high_extraversion_low_threshold_L2.5_add,high,Extraversion,Neuroticism,65.6,34.4,False
stacked_neuroticism_high_extraversion_low_threshold_L2.5_add,high,Extraversion,Openness,77.7,22.3,False
