group,n_rows,total_answers,total_invalid,invalid_rate
agreeableness_high,45,2250,368,0.16355555555555557
agreeableness_low,45,2250,211,0.09377777777777778
conscientiousness_high,75,3750,250,0.06666666666666667
conscientiousness_low,75,3750,64,0.017066666666666667
extraversion_high,45,2250,498,0.22133333333333333
extraversion_low,45,2250,467,0.20755555555555555
neuroticism_high,45,2250,254,0.11288888888888889
neuroticism_low,45,2250,269,0.11955555555555555
openness_high,45,2250,277,0.12311111111111112
openness_low,45,2250,367,0.16311111111111112
