group,n_rows,total_answers,total_invalid,invalid_rate
agreeableness_high_L0.5,9,450,0,0.0
agreeableness_high_L1.0,9,450,0,0.0
agreeableness_high_L1.5,9,450,34,0.07555555555555556
agreeableness_high_L2.0,9,450,125,0.2777777777777778
agreeableness_high_L2.5,9,450,209,0.46444444444444444
agreeableness_low_L0.5,9,450,0,0.0
agreeableness_low_L1.0,9,450,0,0.0
agreeableness_low_L1.5,9,450,33,0.07333333333333333
agreeableness_low_L2.0,9,450,73,0.1622222222222222
agreeableness_low_L2.5,9,450,105,0.23333333333333334
conscientiousness_high_L0.0,15,750,0,0.0
conscientiousness_high_L0.5,15,750,0,0.0
conscientiousness_high_L1.0,15,750,1,0.0013333333333333333
conscientiousness_high_L1.5,15,750,79,0.10533333333333333
conscientiousness_high_L2.0,15,750,170,0.22666666666666666
conscientiousness_low_L0.0,15,750,0,0.0
conscientiousness_low_L0.5,15,750,0,0.0
conscientiousness_low_L1.0,15,750,0,0.0
conscientiousness_low_L1.5,15,750,0,0.0
conscientiousness_low_L2.0,15,750,64,0.08533333333333333
extraversion_high_L0.5,9,450,0,0.0
extraversion_high_L1.0,9,450,0,0.0
extraversion_high_L1.5,9,450,49,0.10888888888888888
extraversion_high_L2.0,9,450,179,0.3977777777777778
extraversion_high_L2.5,9,450,270,0.6
extraversion_low_L0.5,9,450,0,0.0
extraversion_low_L1.0,9,450,0,0.0
extraversion_low_L1.5,9,450,62,0.13777777777777778
extraversion_low_L2.0,9,450,174,0.38666666666666666
extraversion_low_L2.5,9,450,231,0.5133333333333333
neuroticism_high_L0.5,9,450,0,0.0
neuroticism_high_L1.0,9,450,0,0.0
neuroticism_high_L1.5,9,450,11,0.024444444444444446
neuroticism_high_L2.0,9,450,82,0.18222222222222223
neuroticism_high_L2.5,9,450,161,0.35777777777777775
neuroticism_low_L0.5,9,450,0,0.0
neuroticism_low_L1.0,9,450,0,0.0
neuroticism_low_L1.5,9,450,26,0.057777777777777775
neuroticism_low_L2.0,9,450,91,0.20222222222222222
neuroticism_low_L2.5,9,450,152,0.3377777777777778
openness_high_L0.5,9,450,0,0.0
openness_high_L1.0,9,450,0,0.0
openness_high_L1.5,9,450,11,0.024444444444444446
openness_high_L2.0,9,450,81,0.18
openness_high_L2.5,9,450,185,0.4111111111111111
openness_low_L0.5,9,450,0,0.0
openness_low_L1.0,9,450,0,0.0
openness_low_L1.5,9,450,41,0.09111111111111111
openness_low_L2.0,9,450,129,0.2866666666666667
openness_low_L2.5,9,450,197,0.43777777777777777
