group,n_rows,total_answers,total_invalid,invalid_rate
agreeableness_high_lata_linear_L0.5,3,150,0,0.0
agreeableness_high_lata_linear_L1.0,3,150,0,0.0
agreeableness_high_lata_linear_L1.5,3,150,0,0.0
agreeableness_high_lata_linear_L2.0,3,150,17,0.11333333333333333
agreeableness_high_lata_linear_L2.5,3,150,59,0.3933333333333333
agreeableness_high_lata_log_L0.5,3,150,0,0.0
agreeableness_high_lata_log_L1.0,3,150,0,0.0
agreeableness_high_lata_log_L1.5,3,150,34,0.22666666666666666
agreeableness_high_lata_log_L2.0,3,150,107,0.7133333333333334
agreeableness_high_lata_log_L2.5,3,150,143,0.9533333333333334
agreeableness_high_lata_thr_0p95_L0.5,3,150,0,0.0
agreeableness_high_lata_thr_0p95_L1.0,3,150,0,0.0
agreeableness_high_lata_thr_0p95_L1.5,3,150,0,0.0
agreeableness_high_lata_thr_0p95_L2.0,3,150,1,0.006666666666666667
agreeableness_high_lata_thr_0p95_L2.5,3,150,7,0.04666666666666667
agreeableness_low_lata_linear_L0.5,3,150,0,0.0
agreeableness_low_lata_linear_L1.0,3,150,0,0.0
agreeableness_low_lata_linear_L1.5,3,150,4,0.02666666666666667
agreeableness_low_lata_linear_L2.0,3,150,20,0.13333333333333333
agreeableness_low_lata_linear_L2.5,3,150,30,0.2
agreeableness_low_lata_log_L0.5,3,150,0,0.0
agreeableness_low_lata_log_L1.0,3,150,0,0.0
agreeableness_low_lata_log_L1.5,3,150,29,0.19333333333333333
agreeableness_low_lata_log_L2.0,3,150,53,0.35333333333333333
agreeableness_low_lata_log_L2.5,3,150,68,0.4533333333333333
agreeableness_low_lata_thr_0p95_L0.5,3,150,0,0.0
agreeableness_low_lata_thr_0p95_L1.0,3,150,0,0.0
agreeableness_low_lata_thr_0p95_L1.5,3,150,0,0.0
agreeableness_low_lata_thr_0p95_L2.0,3,150,0,0.0
agreeableness_low_lata_thr_0p95_L2.5,3,150,7,0.04666666666666667
conscientiousness_high_lata_linear_L0.0,5,250,0,0.0
conscientiousness_high_lata_linear_L0.5,5,250,0,0.0
conscientiousness_high_lata_linear_L1.0,5,250,0,0.0
conscientiousness_high_lata_linear_L1.5,5,250,11,0.044
conscientiousness_high_lata_linear_L2.0,5,250,64,0.256
conscientiousness_high_lata_log_L0.0,5,250,0,0.0
conscientiousness_high_lata_log_L0.5,5,250,0,0.0
conscientiousness_high_lata_log_L1.0,5,250,1,0.004
conscientiousness_high_lata_log_L1.5,5,250,68,0.272
conscientiousness_high_lata_log_L2.0,5,250,84,0.336
conscientiousness_high_lata_thr_0p95_L0.0,5,250,0,0.0
conscientiousness_high_lata_thr_0p95_L0.5,5,250,0,0.0
conscientiousness_high_lata_thr_0p95_L1.0,5,250,0,0.0
conscientiousness_high_lata_thr_0p95_L1.5,5,250,0,0.0
conscientiousness_high_lata_thr_0p95_L2.0,5,250,22,0.088
conscientiousness_low_lata_linear_L0.0,5,250,0,0.0
conscientiousness_low_lata_linear_L0.5,5,250,0,0.0
conscientiousness_low_lata_linear_L1.0,5,250,0,0.0
conscientiousness_low_lata_linear_L1.5,5,250,0,0.0
conscientiousness_low_lata_linear_L2.0,5,250,7,0.028
conscientiousness_low_lata_log_L0.0,5,250,0,0.0
conscientiousness_low_lata_log_L0.5,5,250,0,0.0
conscientiousness_low_lata_log_L1.0,5,250,0,0.0
conscientiousness_low_lata_log_L1.5,5,250,0,0.0
conscientiousness_low_lata_log_L2.0,5,250,54,0.216
conscientiousness_low_lata_thr_0p95_L0.0,5,250,0,0.0
conscientiousness_low_lata_thr_0p95_L0.5,5,250,0,0.0
conscientiousness_low_lata_thr_0p95_L1.0,5,250,0,0.0
conscientiousness_low_lata_thr_0p95_L1.5,5,250,0,0.0
conscientiousness_low_lata_thr_0p95_L2.0,5,250,3,0.012
extraversion_high_lata_linear_L0.5,3,150,0,0.0
extraversion_high_lata_linear_L1.0,3,150,0,0.0
extraversion_high_lata_linear_L1.5,3,150,2,0.013333333333333334
extraversion_high_lata_linear_L2.0,3,150,34,0.22666666666666666
extraversion_high_lata_linear_L2.5,3,150,98,0.6533333333333333
extraversion_high_lata_log_L0.5,3,150,0,0.0
extraversion_high_lata_log_L1.0,3,150,0,0.0
extraversion_high_lata_log_L1.5,3,150,47,0.31333333333333335
extraversion_high_lata_log_L2.0,3,150,131,0.8733333333333333
extraversion_high_lata_log_L2.5,3,150,143,0.9533333333333334
extraversion_high_lata_thr_0p95_L0.5,3,150,0,0.0
extraversion_high_lata_thr_0p95_L1.0,3,150,0,0.0
extraversion_high_lata_thr_0p95_L1.5,3,150,0,0.0
extraversion_high_lata_thr_0p95_L2.0,3,150,14,0.09333333333333334
extraversion_high_lata_thr_0p95_L2.5,3,150,29,0.19333333333333333
extraversion_low_lata_linear_L0.5,3,150,0,0.0
extraversion_low_lata_linear_L1.0,3,150,0,0.0
extraversion_low_lata_linear_L1.5,3,150,3,0.02
extraversion_low_lata_linear_L2.0,3,150,40,0.26666666666666666
extraversion_low_lata_linear_L2.5,3,150,72,0.48
extraversion_low_lata_log_L0.5,3,150,0,0.0
extraversion_low_lata_log_L1.0,3,150,0,0.0
extraversion_low_lata_log_L1.5,3,150,59,0.3933333333333333
extraversion_low_lata_log_L2.0,3,150,129,0.86
extraversion_low_lata_log_L2.5,3,150,140,0.9333333333333333
extraversion_low_lata_thr_0p95_L0.5,3,150,0,0.0
extraversion_low_lata_thr_0p95_L1.0,3,150,0,0.0
extraversion_low_lata_thr_0p95_L1.5,3,150,0,0.0
extraversion_low_lata_thr_0p95_L2.0,3,150,5,0.03333333333333333
extraversion_low_lata_thr_0p95_L2.5,3,150,19,0.12666666666666668
neuroticism_high_lata_linear_L0.5,3,150,0,0.0
neuroticism_high_lata_linear_L1.0,3,150,0,0.0
neuroticism_high_lata_linear_L1.5,3,150,0,0.0
neuroticism_high_lata_linear_L2.0,3,150,19,0.12666666666666668
neuroticism_high_lata_linear_L2.5,3,150,39,0.26
neuroticism_high_lata_log_L0.5,3,150,0,0.0
neuroticism_high_lata_log_L1.0,3,150,0,0.0
neuroticism_high_lata_log_L1.5,3,150,11,0.07333333333333333
neuroticism_high_lata_log_L2.0,3,150,58,0.38666666666666666
neuroticism_high_lata_log_L2.5,3,150,109,0.7266666666666667
neuroticism_high_lata_thr_0p95_L0.5,3,150,0,0.0
neuroticism_high_lata_thr_0p95_L1.0,3,150,0,0.0
neuroticism_high_lata_thr_0p95_L1.5,3,150,0,0.0
neuroticism_high_lata_thr_0p95_L2.0,3,150,5,0.03333333333333333
neuroticism_high_lata_thr_0p95_L2.5,3,150,13,0.08666666666666667
neuroticism_low_lata_linear_L0.5,3,150,0,0.0
neuroticism_low_lata_linear_L1.0,3,150,0,0.0
neuroticism_low_lata_linear_L1.5,3,150,4,0.02666666666666667
neuroticism_low_lata_linear_L2.0,3,150,11,0.07333333333333333
neuroticism_low_lata_linear_L2.5,3,150,32,0.21333333333333335
neuroticism_low_lata_log_L0.5,3,150,0,0.0
neuroticism_low_lata_log_L1.0,3,150,0,0.0
neuroticism_low_lata_log_L1.5,3,150,22,0.14666666666666667
neuroticism_low_lata_log_L2.0,3,150,75,0.5
neuroticism_low_lata_log_L2.5,3,150,105,0.7
neuroticism_low_lata_thr_0p95_L0.5,3,150,0,0.0
neuroticism_low_lata_thr_0p95_L1.0,3,150,0,0.0
neuroticism_low_lata_thr_0p95_L1.5,3,150,0,0.0
neuroticism_low_lata_thr_0p95_L2.0,3,150,5,0.03333333333333333
